place,1st_humidity,2nd_humidity,3rd_humidity,4th_humidity,5th_humidity,Temperature_1,Temperature_2,Temperature_3,Temperature_4,Temperature_5,Fenophase,sugar_percent,acid_percent,fenols_percent,Alkans_percent,latitude,longitude,EVI,Previous_stage_success,temperature_forecast-1 day,temperature_forecast-2 day,temperature_forecast-3 day,temperature_forecast-4 day,temperature_forecast-5 day,is_rain_1 day,is_rain_2 day,is_rain_3 day,is_rain_4 day,is_rain_5 day,density,output
8,80,80,77.0,80,80,25,25,25,25,25,цветение,95,88,88,95,44.5471755282655,38.0882397471577,0.7908333544591714,0.78,23,23,28,29,27,0,1,1,1,0,6233,41.0
10,80,80,77.0,80,80,25,25,25,25,25,размягчение,88,69,75,93,44.5471755282655,38.0952397471577,0.8173346120453256,0.84,25,23,28,29,27,0,1,1,1,0,6300,75.0
1,80,80,76.0,80,80,25,25,25,25,25,цветение,95,95,95,95,44.54237775,38.0857397471577,0.5144715006453441,0.88,25,23,28,29,27,0,1,1,1,0,6000,22.0
4,80,80,80.0,80,80,25,25,25,25,25,смыкание грозди,78,99,95,95,44.54237775,38.0857397471577,0.8219340917881591,0.79,25,23,28,29,27,0,1,1,1,0,6100,32.0
8,80,80,78.0,80,80,25,25,25,25,25,ягода с горошину,95,88,88,95,44.5471755282655,38.0882397471577,0.7968973095608858,0.72,25,23,28,33,27,0,1,1,1,0,6233,38.0
1,80,80,84.0,80,80,25,25,25,25,25,цветение,95,95,95,95,44.54237775,38.0857397471577,0.5664293153521001,0.88,25,23,28,29,27,0,1,1,1,0,6000,27.0
10,80,80,81.0,80,80,25,25,25,25,25,размягчение,88,69,75,93,44.5471755282655,38.0952397471577,0.8563271242491374,0.84,25,23,28,29,27,0,1,1,1,0,6300,82.0
1,80,80,77.0,80,80,25,25,25,25,25,цветение,95,95,95,95,44.54237775,38.0857397471577,0.8481339037033289,0.88,25,23,28,29,27,0,1,1,1,0,6000,56.0
4,80,80,82.0,80,80,25,25,25,25,25,смыкание грозди,78,99,95,95,44.54237775,38.0857397471577,0.8354785283465318,0.79,25,23,28,29,27,0,1,1,1,0,6100,35.0
8,80,80,83.0,80,80,25,25,25,25,25,цветение,95,88,88,95,44.5471755282655,38.0882397471577,0.8526149724537974,0.78,23,23,28,29,27,0,1,1,1,0,6233,43.0
4,80,80,82.0,80,80,25,25,25,25,25,смыкание грозди,78,99,95,95,44.54237775,38.0857397471577,0.8401047186203083,0.79,25,23,28,29,27,0,1,1,1,0,6100,36.0
9,80,80,77.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.8714560273545897,0.91,25,23,28,29,27,0,1,1,1,0,6267,58.0
2,80,80,83.0,80,80,25,25,25,25,25,цветение,88,84,25,55,44.54237775,38.0857397471577,0.9564213446697248,0.72,25,23,28,29,27,0,1,1,1,0,6033,71.0
8,80,80,82.0,80,80,25,25,25,25,25,ягода с горошину,95,88,88,95,44.5471755282655,38.0882397471577,0.8441022096405172,0.72,25,23,28,29,27,0,1,1,1,0,6233,42.0
7,80,80,77.0,80,80,25,25,25,25,25,ягода с горошину,93,94,8,95,44.5471755282655,38.0872397471577,0.7726643120084491,0.8,25,23,28,29,27,0,1,1,1,0,6200,80.0
7,80,80,76.0,80,80,25,25,25,25,25,ягода с горошину,93,94,8,95,44.5471755282655,38.0872397471577,0.7641428710986253,0.8,25,23,28,29,27,0,1,1,1,0,6200,70.0
8,80,80,80.0,80,80,25,25,25,25,25,ягода с горошину,95,88,88,95,44.5471755282655,38.0882397471577,0.8246994671757732,0.72,25,23,28,29,27,0,1,1,1,0,6233,41.0
4,80,80,77.0,80,80,25,25,25,25,25,смыкание грозди,78,99,95,95,44.54237775,38.0857397471577,0.7917949365298781,0.79,25,23,28,29,27,0,1,1,1,0,6100,33.0
9,80,80,83.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.909444003828384,0.74,25,23,24,29,27,0,1,1,1,0,6267,58.0
1,80,80,79.0,80,80,25,25,25,25,25,смыкание грозди,95,95,95,95,44.54237775,38.0857397471577,0.8675334497871072,0.55,25,23,28,29,27,0,1,1,1,0,6000,30.0
1,80,80,83.0,80,80,25,25,25,25,25,размягчение,95,95,95,95,44.54237775,38.0857397471577,0.9163345351368187,0.66,25,23,28,29,27,0,1,1,1,0,6000,30.0
8,80,80,81.0,80,80,25,25,25,25,25,ягода с горошину,95,88,88,95,44.5471755282655,38.0882397471577,0.8253864301155623,0.72,25,23,28,29,27,0,1,1,1,0,6233,41.0
9,80,80,77.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.8811231869658098,0.91,25,23,28,29,27,0,1,1,1,0,6267,56.0
10,80,80,77.0,80,80,25,25,25,25,25,размягчение,88,69,75,93,44.5471755282655,38.0952397471577,0.8193659037255829,0.84,25,23,28,29,27,0,1,1,1,0,6300,75.0
9,80,75,81.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.775888377691947,0.91,25,23,28,29,27,0,1,1,1,0,6267,51.0
9,80,80,82.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9338314086794823,0.91,25,23,28,29,27,0,1,1,1,0,6267,61.0
10,80,80,82.0,80,80,25,25,25,25,25,размягчение,88,69,75,93,44.5471755282655,38.0952397471577,0.9150540026490542,0.89,25,23,28,29,27,0,1,1,1,0,6300,77.0
1,80,80,78.0,80,80,25,25,25,25,25,размягчение,95,95,95,95,44.54237775,38.0857397471577,0.6451999886931246,0.55,25,23,28,29,27,0,1,1,1,0,6000,32.0
6,80,80,78.0,80,80,25,25,25,25,25,ягода с горошину,95,88,95,95,44.5471755282655,38.0863974715767,0.7763397407129734,0.6,25,23,28,29,27,0,1,1,1,0,6167,26.0
10,80,80,76.0,80,80,25,25,25,25,25,размягчение,88,69,75,93,44.5471755282655,38.0952397471577,0.846991311099822,0.89,25,23,28,29,27,0,1,1,1,0,6300,72.0
9,80,75,81.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.7837983346424902,0.91,25,23,28,29,27,0,1,1,1,0,6267,55.0
10,80,80,77.0,80,80,25,25,25,25,25,размягчение,88,69,75,93,44.5471755282655,38.0952397471577,0.8140083019668508,0.84,25,23,28,29,27,0,1,1,1,0,6300,74.0
1,80,80,79.0,80,80,25,25,25,25,25,цветение,95,95,95,95,44.54237775,38.0857397471577,0.53572110489536,0.88,25,23,28,29,27,0,1,1,1,0,6000,24.0
9,80,80,81.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.88894803043361,0.74,25,23,24,29,27,0,1,1,1,0,6267,51.0
7,80,80,83.0,80,80,25,25,25,25,25,ягода с горошину,93,94,8,95,44.5471755282655,38.0872397471577,0.8349687155935742,0.8,25,23,28,29,27,0,1,1,1,0,6200,79.0
9,80,80,78.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.892873994462975,0.91,25,23,28,29,27,0,1,1,1,0,6267,57.0
4,80,80,78.0,80,80,25,25,25,25,25,смыкание грозди,78,99,95,95,44.54237775,38.0857397471577,0.7994813173206146,0.79,25,23,28,29,27,0,1,1,1,0,6100,33.0
9,80,75,81.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9544910545028932,0.91,25,23,28,29,27,0,1,1,1,0,6267,64.0
7,80,80,81.0,80,80,25,25,25,25,25,ягода с горошину,93,94,8,95,44.5471755282655,38.0872397471577,0.8095391225642866,0.8,25,23,28,29,27,0,1,1,1,0,6200,85.0
1,80,80,79.0,80,80,25,25,25,25,25,смыкание грозди,95,95,95,95,44.54237775,38.0857397471577,0.8652256609311149,0.55,25,23,28,29,27,0,1,1,1,0,6000,30.0
6,80,80,83.0,80,80,25,25,25,25,25,ягода с горошину,95,88,95,95,44.5471755282655,38.0863974715767,0.834248146840783,0.6,25,23,28,29,27,0,1,1,1,0,6167,27.0
9,80,80,83.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9413824718015565,0.91,25,23,28,29,27,0,1,1,1,0,6267,59.0
1,80,80,78.0,80,80,25,25,25,25,25,размягчение,95,95,95,95,44.54237775,38.0857397471577,0.6417828480270954,0.55,25,23,28,29,27,0,1,1,1,0,6000,31.0
10,80,80,78.0,80,80,25,25,25,25,25,размягчение,88,69,75,93,44.5471755282655,38.0952397471577,0.8667836865436725,0.89,25,23,28,29,27,0,1,1,1,0,6300,77.0
9,80,75,80.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9411562326073855,0.91,25,23,28,29,27,0,1,1,1,0,6267,66.0
1,80,80,82.0,80,80,25,25,25,25,25,размягчение,95,95,95,95,44.54237775,38.0857397471577,0.6780557587142276,0.55,25,23,28,29,27,0,1,1,1,0,6000,36.0
1,80,80,76.0,80,80,25,25,25,25,25,цветение,95,95,95,95,44.54237775,38.0857397471577,0.5153781804869771,0.88,25,23,28,29,27,0,1,1,1,0,6000,24.0
8,80,80,82.0,80,80,25,25,25,25,25,ягода с горошину,95,88,88,95,44.5471755282655,38.0882397471577,0.8358534826062458,0.72,25,23,28,33,27,0,1,1,1,0,6233,39.0
8,80,80,81.0,80,80,25,25,25,25,25,цветение,95,88,88,95,44.5471755282655,38.0882397471577,0.8321553435853318,0.78,23,23,28,29,27,0,1,1,1,0,6233,43.0
2,80,80,78.0,80,80,25,25,25,25,25,цветение,88,84,25,55,44.54237775,38.0857397471577,0.8952961688239949,0.72,25,23,28,29,27,0,1,1,1,0,6033,70.0
1,80,80,81.0,80,80,25,25,25,25,25,размягчение,95,95,95,95,44.54237775,38.0857397471577,0.6719692988739291,0.55,25,23,28,29,27,0,1,1,1,0,6000,34.0
8,80,80,84.0,80,80,25,25,25,25,25,цветение,95,88,88,95,44.5471755282655,38.0882397471577,0.8560950216826708,0.78,23,23,28,29,27,0,1,1,1,0,6233,44.0
10,80,80,76.0,80,80,25,25,25,25,25,размягчение,88,69,75,93,44.5471755282655,38.0952397471577,0.8496639402024874,0.89,25,23,28,29,27,0,1,1,1,0,6300,70.0
4,80,80,79.0,80,80,25,25,25,25,25,смыкание грозди,78,99,95,95,44.54237775,38.0857397471577,0.805211468533949,0.79,25,23,28,29,27,0,1,1,1,0,6100,34.0
1,80,80,80.0,80,80,25,25,25,25,25,цветение,95,95,95,95,44.54237775,38.0857397471577,0.5366615426999832,0.88,25,23,28,29,27,0,1,1,1,0,6000,23.0
2,80,80,83.0,80,80,25,25,25,25,25,цветение,88,84,25,55,44.54237775,38.0857397471577,0.9567319530210714,0.72,25,23,28,29,27,0,1,1,1,0,6033,74.0
1,80,80,84.0,80,80,25,25,25,25,25,размягчение,95,95,95,95,44.54237775,38.0857397471577,0.6905092554762045,0.55,25,23,28,29,27,0,1,1,1,0,6000,36.0
6,80,80,80.0,80,80,25,25,25,25,25,ягода с горошину,95,88,95,95,44.5471755282655,38.0863974715767,0.7955292197197066,0.6,25,23,28,29,27,0,1,1,1,0,6167,27.0
8,80,80,82.0,80,80,25,25,25,25,25,ягода с горошину,95,88,88,95,44.5471755282655,38.0882397471577,0.8405023297956596,0.72,25,23,28,29,27,0,1,1,1,0,6233,42.0
7,80,80,80.0,80,80,25,25,25,25,25,ягода с горошину,93,94,8,95,44.5471755282655,38.0872397471577,0.8025328819011586,0.8,25,23,28,29,27,0,1,1,1,0,6200,75.0
9,80,75,80.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9435515958656894,0.91,25,23,28,29,27,0,1,1,1,0,6267,65.0
6,80,80,78.0,80,80,25,25,25,25,25,ягода с горошину,95,88,95,95,44.5471755282655,38.0863974715767,0.7822479612053086,0.6,25,23,28,29,27,0,1,1,1,0,6167,24.0
9,80,75,78.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9133938871112046,0.91,25,23,28,29,27,0,1,1,1,0,6267,63.0
10,80,80,78.0,80,80,25,25,25,25,25,размягчение,88,69,75,93,44.5471755282655,38.0952397471577,0.8319804544035435,0.84,25,23,28,29,27,0,1,1,1,0,6300,78.0
8,80,80,80.0,80,80,25,25,25,25,25,ягода с горошину,95,88,88,95,44.5471755282655,38.0882397471577,0.8246188965950806,0.72,25,23,28,29,27,0,1,1,1,0,6233,43.0
5,80,80,76.0,80,80,25,25,25,25,25,ягода с горошину,88,85,95,88,44.54237775,38.0859397471577,0.7718615700677892,0.88,25,23,28,29,27,0,1,1,1,0,6133,59.0
10,80,80,83.0,80,80,25,25,25,25,25,размягчение,88,69,75,93,44.5471755282655,38.0952397471577,0.9262451560477202,0.89,25,23,28,29,27,0,1,1,1,0,6300,84.0
7,80,80,77.0,80,80,25,25,25,25,25,ягода с горошину,93,94,8,95,44.5471755282655,38.0872397471577,0.7725026967639821,0.8,25,23,28,29,27,0,1,1,1,0,6200,84.0
10,80,80,78.0,80,80,25,25,25,25,25,размягчение,88,69,75,93,44.5471755282655,38.0952397471577,0.8262075375340678,0.84,25,23,28,29,27,0,1,1,1,0,6300,83.0
5,80,80,80.0,80,80,25,25,25,25,25,ягода с горошину,88,85,95,88,44.54237775,38.0859397471577,0.8114803702922595,0.88,25,23,28,29,27,0,1,1,1,0,6133,65.0
9,80,75,82.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.7861788370079705,0.91,25,23,28,29,27,0,1,1,1,0,6267,51.0
7,80,80,77.0,80,80,25,25,25,25,25,ягода с горошину,93,94,8,95,44.5471755282655,38.0872397471577,0.7676583243795518,0.8,25,23,28,29,27,0,1,1,1,0,6200,75.0
5,80,80,79.0,80,80,25,25,25,25,25,ягода с горошину,88,85,95,88,44.54237775,38.0859397471577,0.7952332705013202,0.88,25,23,28,29,27,0,1,1,1,0,6133,58.0
1,80,80,84.0,80,80,25,25,25,25,25,цветение,95,95,95,95,44.54237775,38.0857397471577,0.9212433652905434,0.88,25,23,28,29,27,0,1,1,1,0,6000,60.0
9,80,80,78.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.8883732099770661,0.91,25,23,28,29,27,0,1,1,1,0,6267,54.0
9,80,75,79.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.7556048611698624,0.91,25,23,28,29,27,0,1,1,1,0,6267,52.0
1,80,80,83.0,80,80,25,25,25,25,25,цветение,95,95,95,95,44.54237775,38.0857397471577,0.9096118671743869,0.88,25,23,28,29,27,0,1,1,1,0,6000,58.0
4,80,80,76.0,80,80,25,25,25,25,25,смыкание грозди,78,99,95,95,44.54237775,38.0857397471577,0.7831175833986173,0.79,25,23,28,29,27,0,1,1,1,0,6100,32.0
9,80,75,80.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9366736378680433,0.91,25,23,28,29,27,0,1,1,1,0,6267,69.0
3,80,80,79.0,80,80,25,25,25,25,25,смыкание грозди,88,59,95,95,44.54237775,38.0857397471577,0.8397674249783919,0.55,25,23,28,29,27,0,1,1,1,0,6067,48.0
8,80,80,79.0,80,80,25,25,25,25,25,ягода с горошину,95,88,88,95,44.5471755282655,38.0882397471577,0.8049601143125094,0.72,25,23,28,29,27,0,1,1,1,0,6233,38.0
9,80,80,78.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.8904986630580736,0.91,25,23,28,29,27,0,1,1,1,0,6267,61.0
9,80,75,77.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9015891658568783,0.91,25,23,28,29,27,0,1,1,1,0,6267,61.0
1,80,80,79.0,80,80,25,25,25,25,25,смыкание грозди,95,95,95,95,44.54237775,38.0857397471577,0.8637046729829451,0.55,25,23,28,29,27,0,1,1,1,0,6000,29.0
1,80,80,76.0,80,80,25,25,25,25,25,смыкание грозди,95,95,95,95,44.54237775,38.0857397471577,0.8397886114389788,0.55,25,23,28,29,27,0,1,1,1,0,6000,30.0
1,80,80,82.0,80,80,25,25,25,25,25,цветение,95,95,95,95,44.54237775,38.0857397471577,0.9047248200007102,0.88,25,23,28,29,27,0,1,1,1,0,6000,62.0
1,80,80,79.0,80,80,25,25,25,25,25,размягчение,95,95,95,95,44.54237775,38.0857397471577,0.8710440458683051,0.66,25,23,28,29,27,0,1,1,1,0,6000,32.0
2,80,80,80.0,80,80,25,25,25,25,25,цветение,88,84,25,55,44.54237775,38.0857397471577,0.9148391525734318,0.72,25,23,28,29,27,0,1,1,1,0,6033,69.0
9,80,80,83.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9458171073669621,0.91,25,23,28,29,27,0,1,1,1,0,6267,59.0
9,80,75,81.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.782170233757314,0.91,25,23,28,29,27,0,1,1,1,0,6267,50.0
9,80,80,76.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.8652333784041328,0.91,25,23,28,29,27,0,1,1,1,0,6267,51.0
9,80,75,84.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.804124461368019,0.91,25,23,28,29,27,0,1,1,1,0,6267,57.0
9,80,75,78.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9152915798019048,0.91,25,23,28,29,27,0,1,1,1,0,6267,63.0
4,80,80,77.0,80,80,25,25,25,25,25,смыкание грозди,78,99,95,95,44.54237775,38.0857397471577,0.7878243631503083,0.79,25,23,28,29,27,0,1,1,1,0,6100,34.0
1,80,80,82.0,80,80,25,25,25,25,25,цветение,95,95,95,95,44.54237775,38.0857397471577,0.5544789216325676,0.88,25,23,28,29,27,0,1,1,1,0,6000,24.0
1,80,80,80.0,80,80,25,25,25,25,25,цветение,95,95,95,95,44.54237775,38.0857397471577,0.8800420037962712,0.88,25,23,28,29,27,0,1,1,1,0,6000,61.0
8,80,80,79.0,80,80,25,25,25,25,25,ягода с горошину,95,88,88,95,44.5471755282655,38.0882397471577,0.8145691864134774,0.72,25,23,28,29,27,0,1,1,1,0,6233,39.0
1,80,80,78.0,80,80,25,25,25,25,25,размягчение,95,95,95,95,44.54237775,38.0857397471577,0.8579562710120813,0.66,25,23,28,29,27,0,1,1,1,0,6000,29.0
1,80,80,80.0,80,80,25,25,25,25,25,смыкание грозди,95,95,95,95,44.54237775,38.0857397471577,0.884177491107884,0.55,25,23,28,29,27,0,1,1,1,0,6000,31.0
4,80,80,78.0,80,80,25,25,25,25,25,смыкание грозди,78,99,95,95,44.54237775,38.0857397471577,0.8014995376266121,0.79,25,23,28,29,27,0,1,1,1,0,6100,32.0
9,80,75,83.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9777488024969843,0.91,25,23,28,29,27,0,1,1,1,0,6267,63.0
8,80,80,78.0,80,80,25,25,25,25,25,цветение,95,88,88,95,44.5471755282655,38.0882397471577,0.7966467673381218,0.78,23,23,28,29,27,0,1,1,1,0,6233,38.0
1,80,80,83.0,80,80,25,25,25,25,25,смыкание грозди,95,95,95,95,44.54237775,38.0857397471577,0.9138232532401063,0.55,25,23,28,29,27,0,1,1,1,0,6000,29.0
1,80,80,80.0,80,80,25,25,25,25,25,цветение,95,95,95,95,44.54237775,38.0857397471577,0.8852276774640074,0.88,25,23,28,29,27,0,1,1,1,0,6000,57.0
1,80,80,83.0,80,80,25,25,25,25,25,смыкание грозди,95,95,95,95,44.54237775,38.0857397471577,0.9089069557827812,0.55,25,23,28,29,27,0,1,1,1,0,6000,30.0
1,80,80,82.0,80,80,25,25,25,25,25,размягчение,95,95,95,95,44.54237775,38.0857397471577,0.898730447635764,0.66,25,23,28,29,27,0,1,1,1,0,6000,30.0
7,80,80,82.0,80,80,25,25,25,25,25,ягода с горошину,93,94,8,95,44.5471755282655,38.0872397471577,0.8157356089149399,0.8,25,23,28,29,27,0,1,1,1,0,6200,83.0
6,80,80,79.0,80,80,25,25,25,25,25,ягода с горошину,95,88,95,95,44.5471755282655,38.0863974715767,0.7859476646156045,0.6,25,23,28,29,27,0,1,1,1,0,6167,27.0
1,80,80,78.0,80,80,25,25,25,25,25,смыкание грозди,95,95,95,95,44.54237775,38.0857397471577,0.8565829299695539,0.55,25,23,28,29,27,0,1,1,1,0,6000,29.0
1,80,80,78.0,80,80,25,25,25,25,25,цветение,95,95,95,95,44.54237775,38.0857397471577,0.8545579880359094,0.88,25,23,28,29,27,0,1,1,1,0,6000,54.0
1,80,80,83.0,80,80,25,25,25,25,25,размягчение,95,95,95,95,44.54237775,38.0857397471577,0.9114328658212439,0.66,25,23,28,29,27,0,1,1,1,0,6000,33.0
6,80,80,83.0,80,80,25,25,25,25,25,ягода с горошину,95,88,95,95,44.5471755282655,38.0863974715767,0.8256341456207217,0.6,25,23,28,29,27,0,1,1,1,0,6167,29.0
9,80,80,80.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.90459219104912,0.91,25,23,28,29,27,0,1,1,1,0,6267,58.0
9,80,75,77.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.741695155239227,0.91,25,23,28,29,27,0,1,1,1,0,6267,52.0
7,80,80,79.0,80,80,25,25,25,25,25,ягода с горошину,93,94,8,95,44.5471755282655,38.0872397471577,0.7905801801581966,0.8,25,23,28,29,27,0,1,1,1,0,6200,81.0
7,80,80,81.0,80,80,25,25,25,25,25,ягода с горошину,93,94,8,95,44.5471755282655,38.0872397471577,0.8095474763309529,0.8,25,23,28,29,27,0,1,1,1,0,6200,79.0
2,80,80,80.0,80,80,25,25,25,25,25,цветение,88,84,25,55,44.54237775,38.0857397471577,0.9158050902121557,0.72,25,23,28,29,27,0,1,1,1,0,6033,66.0
5,80,80,82.0,80,80,25,25,25,25,25,ягода с горошину,88,85,95,88,44.54237775,38.0859397471577,0.8326953307471227,0.88,25,23,28,29,27,0,1,1,1,0,6133,63.0
8,80,80,84.0,80,80,25,25,25,25,25,ягода с горошину,95,88,88,95,44.5471755282655,38.0882397471577,0.8608050714246137,0.72,25,23,28,29,27,0,1,1,1,0,6233,44.0
9,80,80,78.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.8818930200488496,0.91,25,23,28,29,27,0,1,1,1,0,6267,57.0
9,80,80,80.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9063282245890211,0.91,25,23,28,29,27,0,1,1,1,0,6267,57.0
9,80,80,79.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.8739265833690324,0.74,25,23,24,29,27,0,1,1,1,0,6267,55.0
1,80,80,78.0,80,80,25,25,25,25,25,размягчение,95,95,95,95,44.54237775,38.0857397471577,0.6470965071614307,0.55,25,23,28,29,27,0,1,1,1,0,6000,31.0
1,80,80,78.0,80,80,25,25,25,25,25,размягчение,95,95,95,95,44.54237775,38.0857397471577,0.8534324054713855,0.66,25,23,28,29,27,0,1,1,1,0,6000,28.0
9,80,80,77.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.870477982600559,0.91,25,23,28,29,27,0,1,1,1,0,6267,55.0
5,80,80,83.0,80,80,25,25,25,25,25,ягода с горошину,88,85,95,88,44.54237775,38.0859397471577,0.8413566646951196,0.88,25,23,28,29,27,0,1,1,1,0,6133,61.0
7,80,80,79.0,80,80,25,25,25,25,25,ягода с горошину,93,94,8,95,44.5471755282655,38.0872397471577,0.7935878958149054,0.8,25,23,28,29,27,0,1,1,1,0,6200,84.0
3,80,80,80.0,80,80,25,25,25,25,25,смыкание грозди,88,59,95,95,44.54237775,38.0857397471577,0.8497361190725041,0.55,25,23,28,29,27,0,1,1,1,0,6067,48.0
1,80,80,83.0,80,80,25,25,25,25,25,размягчение,95,95,95,95,44.54237775,38.0857397471577,0.6875181751812606,0.55,25,23,28,29,27,0,1,1,1,0,6000,34.0
5,80,80,82.0,80,80,25,25,25,25,25,ягода с горошину,88,85,95,88,44.54237775,38.0859397471577,0.8323795286787918,0.88,25,23,28,29,27,0,1,1,1,0,6133,66.0
9,80,80,77.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.8763756150346638,0.91,25,23,28,29,27,0,1,1,1,0,6267,55.0
