place,humidity_1,humidity_2,humidity_3,humidity_4,humidity_5,temperature_1,temperature_2,temperature_3,temperature_4,temperature_5,fenophase,sugar_percent,acid_percent,fenols_percent,alkans_percent,latitude,longitude,evi,previous_stage_success,temperature_forecast_1,temperature_forecast_2,temperature_forecast_3,temperature_forecast_4,temperature_forecast_5,rain_1,rain_2,rain_3,rain_4, rain_5,density,output
10,80,80,80.0,80,80,25,25,25,25,25,размягчение,88,69,75,93,44.5471755282655,38.0952397471577,0.8519868900285926,0.84,25,23,28,29,27,0,1,1,1,0,6300,50.11687588403486
1,80,80,80.0,80,80,25,25,25,25,25,размягчение,95,95,95,95,44.54237775,38.0857397471577,0.6559086134642473,0.55,25,23,28,29,27,0,1,1,1,0,6000,23.851222307790813
9,80,75,77.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9075420965050147,0.91,25,23,28,29,27,0,1,1,1,0,6267,35.10801147021338
1,80,80,80.0,80,80,25,25,25,25,25,смыкание грозди,95,95,95,95,44.54237775,38.0857397471577,0.8768442626067415,0.55,25,23,28,29,27,0,1,1,1,0,6000,5.978483608682328
8,80,80,80.0,80,80,25,25,25,25,25,цветение,95,88,88,95,44.5471755282655,38.0882397471577,0.82283682889204,0.78,23,23,28,29,27,0,1,1,1,0,6233,14.595775235335477
10,80,80,82.0,80,80,25,25,25,25,25,размягчение,88,69,75,93,44.5471755282655,38.0952397471577,0.872936946806838,0.84,25,23,28,29,27,0,1,1,1,0,6300,51.34923216510812
1,80,80,83.0,80,80,25,25,25,25,25,цветение,95,95,95,95,44.54237775,38.0857397471577,0.5632213103182594,0.88,25,23,28,29,27,0,1,1,1,0,6000,41.720097060611806
4,80,80,82.0,80,80,25,25,25,25,25,смыкание грозди,78,99,95,95,44.54237775,38.0857397471577,0.8359223206650124,0.79,25,23,28,29,27,0,1,1,1,0,6100,25.485436605640622
8,80,80,83.0,80,80,25,25,25,25,25,ягода с горошину,95,88,88,95,44.5471755282655,38.0882397471577,0.8507768791248271,0.72,25,23,28,33,27,0,1,1,1,0,6233,19.713122808989898
1,80,80,77.0,80,80,25,25,25,25,25,цветение,95,95,95,95,44.54237775,38.0857397471577,0.5193329852030267,0.88,25,23,28,29,27,0,1,1,1,0,6000,38.469110015039014
10,80,80,76.0,80,80,25,25,25,25,25,размягчение,88,69,75,93,44.5471755282655,38.0952397471577,0.8100061187842188,0.84,25,23,28,29,27,0,1,1,1,0,6300,47.64741875201287
1,80,80,83.0,80,80,25,25,25,25,25,цветение,95,95,95,95,44.54237775,38.0857397471577,0.9136298024849371,0.88,25,23,28,29,27,0,1,1,1,0,6000,42.56684307032093
4,80,80,79.0,80,80,25,25,25,25,25,смыкание грозди,78,99,95,95,44.54237775,38.0857397471577,0.8136522926663536,0.79,25,23,28,29,27,0,1,1,1,0,6100,24.806472337388833
8,80,80,79.0,80,80,25,25,25,25,25,цветение,95,88,88,95,44.5471755282655,38.0882397471577,0.8070799030492262,0.78,23,23,28,29,27,0,1,1,1,0,6233,14.316273224819934
4,80,80,84.0,80,80,25,25,25,25,25,смыкание грозди,78,99,95,95,44.54237775,38.0857397471577,0.8591279870701111,0.79,25,23,28,29,27,0,1,1,1,0,6100,26.19292643506436
9,80,80,78.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.8891135408575758,0.91,25,23,28,29,27,0,1,1,1,0,6267,30.199660728429137
2,80,80,83.0,80,80,25,25,25,25,25,цветение,88,84,25,55,44.54237775,38.0857397471577,0.9521464536353144,0.72,25,23,28,29,27,0,1,1,1,0,6033,44.22024043563216
8,80,80,78.0,80,80,25,25,25,25,25,ягода с горошину,95,88,88,95,44.5471755282655,38.0882397471577,0.799964019588033,0.72,25,23,28,29,27,0,1,1,1,0,6233,21.4624493060204
7,80,80,83.0,80,80,25,25,25,25,25,ягода с горошину,93,94,8,95,44.5471755282655,38.0872397471577,0.8325571586995366,0.8,25,23,28,29,27,0,1,1,1,0,6200,34.05915649225374
7,80,80,82.0,80,80,25,25,25,25,25,ягода с горошину,93,94,8,95,44.5471755282655,38.0872397471577,0.8244984316293187,0.8,25,23,28,29,27,0,1,1,1,0,6200,33.72948129392664
8,80,80,79.0,80,80,25,25,25,25,25,ягода с горошину,95,88,88,95,44.5471755282655,38.0882397471577,0.8098144056763456,0.72,25,23,28,29,27,0,1,1,1,0,6233,14.36477881465797
4,80,80,83.0,80,80,25,25,25,25,25,смыкание грозди,78,99,95,95,44.54237775,38.0857397471577,0.8551524851589384,0.79,25,23,28,29,27,0,1,1,1,0,6100,26.07172210850422
9,80,80,81.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.887673734840043,0.74,25,23,24,29,27,0,1,1,1,0,6267,27.510549633472433
1,80,80,78.0,80,80,25,25,25,25,25,смыкание грозди,95,95,95,95,44.54237775,38.0857397471577,0.862867202496344,0.55,25,23,28,29,27,0,1,1,1,0,6000,5.883185471565982
1,80,80,76.0,80,80,25,25,25,25,25,размягчение,95,95,95,95,44.54237775,38.0857397471577,0.8385021335595519,0.66,25,23,28,29,27,0,1,1,1,0,6000,15.7219150042416
8,80,80,76.0,80,80,25,25,25,25,25,ягода с горошину,95,88,88,95,44.5471755282655,38.0882397471577,0.782502018333815,0.72,25,23,28,29,27,0,1,1,1,0,6233,13.880301877318184
9,80,80,77.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.870404956695112,0.91,25,23,28,29,27,0,1,1,1,0,6267,29.564204323310488
10,80,80,83.0,80,80,25,25,25,25,25,размягчение,88,69,75,93,44.5471755282655,38.0952397471577,0.8814351091139404,0.84,25,23,28,29,27,0,1,1,1,0,6300,51.849124065525906
9,80,75,77.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.740649732551047,0.91,25,23,28,29,27,0,1,1,1,0,6267,24.4842886793735
9,80,80,78.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.8858071968708864,0.91,25,23,28,29,27,0,1,1,1,0,6267,30.087357336273854
10,80,80,81.0,80,80,25,25,25,25,25,размягчение,88,69,75,93,44.5471755282655,38.0952397471577,0.9012662632020692,0.89,25,23,28,29,27,0,1,1,1,0,6300,48.79173845731326
1,80,80,76.0,80,80,25,25,25,25,25,размягчение,95,95,95,95,44.54237775,38.0857397471577,0.6272552948774234,0.55,25,23,28,29,27,0,1,1,1,0,6000,22.809283450088124
6,80,80,78.0,80,80,25,25,25,25,25,ягода с горошину,95,88,95,95,44.5471755282655,38.0863974715767,0.7764027636376859,0.6,25,23,28,29,27,0,1,1,1,0,6167,23.292082909130574
10,80,80,78.0,80,80,25,25,25,25,25,размягчение,88,69,75,93,44.5471755282655,38.0952397471577,0.8674785795106271,0.89,25,23,28,29,27,0,1,1,1,0,6300,46.9625788703404
9,80,75,82.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.7909100930427183,0.91,25,23,28,29,27,0,1,1,1,0,6267,26.14578819975933
10,80,80,82.0,80,80,25,25,25,25,25,размягчение,88,69,75,93,44.5471755282655,38.0952397471577,0.8670184975776095,0.84,25,23,28,29,27,0,1,1,1,0,6300,51.001088092800565
1,80,80,83.0,80,80,25,25,25,25,25,цветение,95,95,95,95,44.54237775,38.0857397471577,0.5571191585891709,0.88,25,23,28,29,27,0,1,1,1,0,6000,41.26808582142007
9,80,80,77.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.8447533845691582,0.74,25,23,24,29,27,0,1,1,1,0,6267,26.180373488713606
7,80,80,83.0,80,80,25,25,25,25,25,ягода с горошину,93,94,8,95,44.5471755282655,38.0872397471577,0.8298588523753697,0.8,25,23,28,29,27,0,1,1,1,0,6200,33.94877123353782
9,80,80,78.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.8831076208684712,0.91,25,23,28,29,27,0,1,1,1,0,6267,29.995663446081927
4,80,80,84.0,80,80,25,25,25,25,25,смыкание грозди,78,99,95,95,44.54237775,38.0857397471577,0.8582839253919531,0.79,25,23,28,29,27,0,1,1,1,0,6100,26.167192847315647
9,80,75,79.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9268000144476983,0.91,25,23,28,29,27,0,1,1,1,0,6267,35.85299862466922
7,80,80,79.0,80,80,25,25,25,25,25,ягода с горошину,93,94,8,95,44.5471755282655,38.0872397471577,0.7947572320214222,0.8,25,23,28,29,27,0,1,1,1,0,6200,32.512795855421786
1,80,80,76.0,80,80,25,25,25,25,25,смыкание грозди,95,95,95,95,44.54237775,38.0857397471577,0.840417438485955,0.55,25,23,28,29,27,0,1,1,1,0,6000,5.730118898767875
6,80,80,81.0,80,80,25,25,25,25,25,ягода с горошину,95,88,95,95,44.5471755282655,38.0863974715767,0.8050190826366986,0.6,25,23,28,29,27,0,1,1,1,0,6167,24.15057247910096
9,80,80,81.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9213686944312689,0.91,25,23,28,29,27,0,1,1,1,0,6267,31.295240370292838
1,80,80,78.0,80,80,25,25,25,25,25,размягчение,95,95,95,95,44.54237775,38.0857397471577,0.6428820331676744,0.55,25,23,28,29,27,0,1,1,1,0,6000,23.377528478824523
10,80,80,79.0,80,80,25,25,25,25,25,размягчение,88,69,75,93,44.5471755282655,38.0952397471577,0.8754890199658861,0.89,25,23,28,29,27,0,1,1,1,0,6300,47.396239078847785
9,80,75,77.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9033817647269813,0.91,25,23,28,29,27,0,1,1,1,0,6267,34.947070202204344
1,80,80,80.0,80,80,25,25,25,25,25,размягчение,95,95,95,95,44.54237775,38.0857397471577,0.6591183762311699,0.55,25,23,28,29,27,0,1,1,1,0,6000,23.967940953860722
1,80,80,79.0,80,80,25,25,25,25,25,цветение,95,95,95,95,44.54237775,38.0857397471577,0.5361276797653021,0.88,25,23,28,29,27,0,1,1,1,0,6000,39.713161464096444
8,80,80,78.0,80,80,25,25,25,25,25,ягода с горошину,95,88,88,95,44.5471755282655,38.0882397471577,0.7959467371097428,0.72,25,23,28,33,27,0,1,1,1,0,6233,18.442668298884286
8,80,80,81.0,80,80,25,25,25,25,25,цветение,95,88,88,95,44.5471755282655,38.0882397471577,0.8316583522425574,0.78,23,23,28,29,27,0,1,1,1,0,6233,14.75225458523379
2,80,80,82.0,80,80,25,25,25,25,25,цветение,88,84,25,55,44.54237775,38.0857397471577,0.939395353200896,0.72,25,23,28,29,27,0,1,1,1,0,6033,43.62804505972537
1,80,80,81.0,80,80,25,25,25,25,25,размягчение,95,95,95,95,44.54237775,38.0857397471577,0.6714485386860634,0.55,25,23,28,29,27,0,1,1,1,0,6000,24.416310497675028
8,80,80,80.0,80,80,25,25,25,25,25,цветение,95,88,88,95,44.5471755282655,38.0882397471577,0.8195739083250669,0.78,23,23,28,29,27,0,1,1,1,0,6233,14.537896378271652
10,80,80,78.0,80,80,25,25,25,25,25,размягчение,88,69,75,93,44.5471755282655,38.0952397471577,0.8638490532247235,0.89,25,23,28,29,27,0,1,1,1,0,6300,46.76608766180834
4,80,80,82.0,80,80,25,25,25,25,25,смыкание грозди,78,99,95,95,44.54237775,38.0857397471577,0.8360234666293099,0.79,25,23,28,29,27,0,1,1,1,0,6100,25.48852032406433
1,80,80,79.0,80,80,25,25,25,25,25,цветение,95,95,95,95,44.54237775,38.0857397471577,0.5353303929521896,0.88,25,23,28,29,27,0,1,1,1,0,6000,39.65410318164367
2,80,80,77.0,80,80,25,25,25,25,25,цветение,88,84,25,55,44.54237775,38.0857397471577,0.8872435635687048,0.72,25,23,28,29,27,0,1,1,1,0,6033,41.205975778388435
1,80,80,78.0,80,80,25,25,25,25,25,размягчение,95,95,95,95,44.54237775,38.0857397471577,0.645229112061729,0.55,25,23,28,29,27,0,1,1,1,0,6000,23.46287680224469
6,80,80,84.0,80,80,25,25,25,25,25,ягода с горошину,95,88,95,95,44.5471755282655,38.0863974715767,0.8384259233436014,0.6,25,23,28,29,27,0,1,1,1,0,6167,25.152777700308043
8,80,80,79.0,80,80,25,25,25,25,25,ягода с горошину,95,88,88,95,44.5471755282655,38.0882397471577,0.8101773500708651,0.72,25,23,28,29,27,0,1,1,1,0,6233,21.736465489706138
7,80,80,82.0,80,80,25,25,25,25,25,ягода с горошину,93,94,8,95,44.5471755282655,38.0872397471577,0.8175179064201115,0.8,25,23,28,29,27,0,1,1,1,0,6200,33.44391435354998
9,80,75,84.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9836732797783043,0.91,25,23,28,29,27,0,1,1,1,0,6267,38.05312494306791
6,80,80,79.0,80,80,25,25,25,25,25,ягода с горошину,95,88,95,95,44.5471755282655,38.0863974715767,0.7923202187861262,0.6,25,23,28,29,27,0,1,1,1,0,6167,23.769606563583785
9,80,75,76.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.8943925595592032,0.91,25,23,28,29,27,0,1,1,1,0,6267,34.59932532143923
10,80,80,77.0,80,80,25,25,25,25,25,размягчение,88,69,75,93,44.5471755282655,38.0952397471577,0.8165121707603235,0.84,25,23,28,29,27,0,1,1,1,0,6300,48.03012769178373
8,80,80,80.0,80,80,25,25,25,25,25,ягода с горошину,95,88,88,95,44.5471755282655,38.0882397471577,0.8157074251258453,0.72,25,23,28,29,27,0,1,1,1,0,6233,21.884833357034875
5,80,80,82.0,80,80,25,25,25,25,25,ягода с горошину,88,85,95,88,44.54237775,38.0859397471577,0.8336831483621402,0.88,25,23,28,29,27,0,1,1,1,0,6133,35.555510255624334
10,80,80,78.0,80,80,25,25,25,25,25,размягчение,88,69,75,93,44.5471755282655,38.0952397471577,0.8695952846451489,0.89,25,23,28,29,27,0,1,1,1,0,6300,47.07717067026855
7,80,80,77.0,80,80,25,25,25,25,25,ягода с горошину,93,94,8,95,44.5471755282655,38.0872397471577,0.7747788821471189,0.8,25,23,28,29,27,0,1,1,1,0,6200,31.695499724200285
10,80,80,82.0,80,80,25,25,25,25,25,размягчение,88,69,75,93,44.5471755282655,38.0952397471577,0.8671835904495292,0.84,25,23,28,29,27,0,1,1,1,0,6300,51.0107994382076
5,80,80,77.0,80,80,25,25,25,25,25,ягода с горошину,88,85,95,88,44.54237775,38.0859397471577,0.77910216686567,0.88,25,23,28,29,27,0,1,1,1,0,6133,33.22770184163347
9,80,75,77.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.7420586327206591,0.91,25,23,28,29,27,0,1,1,1,0,6267,24.53086389159208
7,80,80,82.0,80,80,25,25,25,25,25,ягода с горошину,93,94,8,95,44.5471755282655,38.0872397471577,0.8175950800634247,0.8,25,23,28,29,27,0,1,1,1,0,6200,33.44707145714007
5,80,80,78.0,80,80,25,25,25,25,25,ягода с горошину,88,85,95,88,44.54237775,38.0859397471577,0.787378673505156,0.88,25,23,28,29,27,0,1,1,1,0,6133,33.58068416744768
1,80,80,77.0,80,80,25,25,25,25,25,цветение,95,95,95,95,44.54237775,38.0857397471577,0.8445714019534477,0.88,25,23,28,29,27,0,1,1,1,0,6000,39.34934940919472
9,80,80,77.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.8775639948424214,0.91,25,23,28,29,27,0,1,1,1,0,6267,29.807368456186133
9,80,75,77.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.7410720770418677,0.91,25,23,28,29,27,0,1,1,1,0,6267,24.49825048072294
1,80,80,81.0,80,80,25,25,25,25,25,цветение,95,95,95,95,44.54237775,38.0857397471577,0.8939243513342731,0.88,25,23,28,29,27,0,1,1,1,0,6000,41.648748187165
4,80,80,81.0,80,80,25,25,25,25,25,смыкание грозди,78,99,95,95,44.54237775,38.0857397471577,0.8319539950502317,0.79,25,23,28,29,27,0,1,1,1,0,6100,25.364451068604627
9,80,75,78.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9125995581538794,0.91,25,23,28,29,27,0,1,1,1,0,6267,35.303657955662686
3,80,80,82.0,80,80,25,25,25,25,25,смыкание грозди,88,59,95,95,44.54237775,38.0857397471577,0.8728434035843505,0.55,25,23,28,29,27,0,1,1,1,0,6067,29.779363181113137
8,80,80,80.0,80,80,25,25,25,25,25,ягода с горошину,95,88,88,95,44.5471755282655,38.0882397471577,0.8235427620161955,0.72,25,23,28,29,27,0,1,1,1,0,6233,14.608297330664177
9,80,80,82.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9283822264142905,0.91,25,23,28,29,27,0,1,1,1,0,6267,31.533462235850017
9,80,75,79.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9230977581509111,0.91,25,23,28,29,27,0,1,1,1,0,6267,35.70977787817842
1,80,80,79.0,80,80,25,25,25,25,25,смыкание грозди,95,95,95,95,44.54237775,38.0857397471577,0.8677615563831614,0.55,25,23,28,29,27,0,1,1,1,0,6000,5.916556066248829
1,80,80,76.0,80,80,25,25,25,25,25,смыкание грозди,95,95,95,95,44.54237775,38.0857397471577,0.8364455726643036,0.55,25,23,28,29,27,0,1,1,1,0,6000,5.703037995438434
1,80,80,79.0,80,80,25,25,25,25,25,цветение,95,95,95,95,44.54237775,38.0857397471577,0.8682297215562277,0.88,25,23,28,29,27,0,1,1,1,0,6000,40.45161202705152
1,80,80,82.0,80,80,25,25,25,25,25,размягчение,95,95,95,95,44.54237775,38.0857397471577,0.8967938666856942,0.66,25,23,28,29,27,0,1,1,1,0,6000,16.814885000356764
2,80,80,81.0,80,80,25,25,25,25,25,цветение,88,84,25,55,44.54237775,38.0857397471577,0.9298677379738973,0.72,25,23,28,29,27,0,1,1,1,0,6033,43.18555700076398
9,80,80,83.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9427792603527456,0.91,25,23,28,29,27,0,1,1,1,0,6267,32.022472379613724
9,80,75,77.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.7425453162196864,0.91,25,23,28,29,27,0,1,1,1,0,6267,24.546952602303726
9,80,80,78.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.8860979650160871,0.91,25,23,28,29,27,0,1,1,1,0,6267,30.09723357696998
9,80,75,82.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.7875836224122829,0.91,25,23,28,29,27,0,1,1,1,0,6267,26.035822228505264
9,80,75,80.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9443673213296577,0.91,25,23,28,29,27,0,1,1,1,0,6267,36.53258496439686
4,80,80,81.0,80,80,25,25,25,25,25,смыкание грозди,78,99,95,95,44.54237775,38.0857397471577,0.8310167405336698,0.79,25,23,28,29,27,0,1,1,1,0,6100,25.335876235782617
1,80,80,82.0,80,80,25,25,25,25,25,цветение,95,95,95,95,44.54237775,38.0857397471577,0.5511166509364595,0.88,25,23,28,29,27,0,1,1,1,0,6000,40.82345562492292
1,80,80,80.0,80,80,25,25,25,25,25,цветение,95,95,95,95,44.54237775,38.0857397471577,0.8747546253978297,0.88,25,23,28,29,27,0,1,1,1,0,6000,40.75561322876252
8,80,80,78.0,80,80,25,25,25,25,25,ягода с горошину,95,88,88,95,44.5471755282655,38.0882397471577,0.7964704313985638,0.72,25,23,28,29,27,0,1,1,1,0,6233,21.36871889118098
1,80,80,77.0,80,80,25,25,25,25,25,размягчение,95,95,95,95,44.54237775,38.0857397471577,0.8427286412308046,0.66,25,23,28,29,27,0,1,1,1,0,6000,15.801162023077586
1,80,80,78.0,80,80,25,25,25,25,25,смыкание грозди,95,95,95,95,44.54237775,38.0857397471577,0.8530523035847782,0.55,25,23,28,29,27,0,1,1,1,0,6000,5.816265706259852
4,80,80,77.0,80,80,25,25,25,25,25,смыкание грозди,78,99,95,95,44.54237775,38.0857397471577,0.7914570407009732,0.79,25,23,28,29,27,0,1,1,1,0,6100,24.129787826249185
9,80,75,80.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9411765982589259,0.91,25,23,28,29,27,0,1,1,1,0,6267,36.40915273728924
8,80,80,83.0,80,80,25,25,25,25,25,цветение,95,88,88,95,44.5471755282655,38.0882397471577,0.8465373824647242,0.78,23,23,28,29,27,0,1,1,1,0,6233,15.016184167888632
1,80,80,82.0,80,80,25,25,25,25,25,смыкание грозди,95,95,95,95,44.54237775,38.0857397471577,0.899121421835642,0.55,25,23,28,29,27,0,1,1,1,0,6000,6.130373330697559
1,80,80,78.0,80,80,25,25,25,25,25,цветение,95,95,95,95,44.54237775,38.0857397471577,0.8566455609543847,0.88,25,23,28,29,27,0,1,1,1,0,6000,39.91189545355656
1,80,80,81.0,80,80,25,25,25,25,25,смыкание грозди,95,95,95,95,44.54237775,38.0857397471577,0.891513893650747,0.55,25,23,28,29,27,0,1,1,1,0,6000,6.078503820346002
1,80,80,76.0,80,80,25,25,25,25,25,размягчение,95,95,95,95,44.54237775,38.0857397471577,0.8389688136658352,0.66,25,23,28,29,27,0,1,1,1,0,6000,15.73066525623441
7,80,80,82.0,80,80,25,25,25,25,25,ягода с горошину,93,94,8,95,44.5471755282655,38.0872397471577,0.8157312141297179,0.8,25,23,28,29,27,0,1,1,1,0,6200,33.37082239621571
6,80,80,77.0,80,80,25,25,25,25,25,ягода с горошину,95,88,95,95,44.5471755282655,38.0863974715767,0.7745834053154398,0.6,25,23,28,29,27,0,1,1,1,0,6167,23.237502159463194
1,80,80,81.0,80,80,25,25,25,25,25,смыкание грозди,95,95,95,95,44.54237775,38.0857397471577,0.8886742547629664,0.55,25,23,28,29,27,0,1,1,1,0,6000,6.059142646111134
1,80,80,79.0,80,80,25,25,25,25,25,цветение,95,95,95,95,44.54237775,38.0857397471577,0.8647651726760515,0.88,25,23,28,29,27,0,1,1,1,0,6000,40.29019554513422
1,80,80,82.0,80,80,25,25,25,25,25,размягчение,95,95,95,95,44.54237775,38.0857397471577,0.9064440449627427,0.66,25,23,28,29,27,0,1,1,1,0,6000,16.995825843051424
6,80,80,80.0,80,80,25,25,25,25,25,ягода с горошину,95,88,95,95,44.5471755282655,38.0863974715767,0.8009251587452213,0.6,25,23,28,29,27,0,1,1,1,0,6167,24.027754762356636
9,80,80,83.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9415178098460895,0.91,25,23,28,29,27,0,1,1,1,0,6267,31.97962590885817
9,80,75,84.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.8069443001896438,0.91,25,23,28,29,27,0,1,1,1,0,6267,26.675844634368435
7,80,80,81.0,80,80,25,25,25,25,25,ягода с горошину,93,94,8,95,44.5471755282655,38.0872397471577,0.8066676300718378,0.8,25,23,28,29,27,0,1,1,1,0,6200,33.0000394120297
7,80,80,80.0,80,80,25,25,25,25,25,ягода с горошину,93,94,8,95,44.5471755282655,38.0872397471577,0.80270845737926,0.8,25,23,28,29,27,0,1,1,1,0,6200,32.838073256424245
2,80,80,78.0,80,80,25,25,25,25,25,цветение,88,84,25,55,44.54237775,38.0857397471577,0.900582785892036,0.72,25,23,28,29,27,0,1,1,1,0,6033,41.82548511553919
5,80,80,83.0,80,80,25,25,25,25,25,ягода с горошину,88,85,95,88,44.54237775,38.0859397471577,0.8362350584681021,0.88,25,23,28,29,27,0,1,1,1,0,6133,35.66434592793247
8,80,80,80.0,80,80,25,25,25,25,25,ягода с горошину,95,88,88,95,44.5471755282655,38.0882397471577,0.8160246675205951,0.72,25,23,28,29,27,0,1,1,1,0,6233,14.474938669988338
9,80,80,84.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9531893317895018,0.91,25,23,28,29,27,0,1,1,1,0,6267,32.37606121962342
9,80,80,82.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9353463250869695,0.91,25,23,28,29,27,0,1,1,1,0,6267,31.77000504790904
9,80,80,79.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.8636558860432759,0.74,25,23,24,29,27,0,1,1,1,0,6267,26.766194815390808
1,80,80,79.0,80,80,25,25,25,25,25,размягчение,95,95,95,95,44.54237775,38.0857397471577,0.6528492425775175,0.55,25,23,28,29,27,0,1,1,1,0,6000,23.739972457364274
1,80,80,82.0,80,80,25,25,25,25,25,размягчение,95,95,95,95,44.54237775,38.0857397471577,0.9058326796625942,0.66,25,23,28,29,27,0,1,1,1,0,6000,16.984362743673643
9,80,80,80.0,80,80,25,25,25,25,25,размягчение,59,68,79,95,44.5471755282655,38.0893974715767,0.9142848372117951,0.91,25,23,28,29,27,0,1,1,1,0,6267,31.054629835365656
5,80,80,81.0,80,80,25,25,25,25,25,ягода с горошину,88,85,95,88,44.54237775,38.0859397471577,0.8200834011174033,0.88,25,23,28,29,27,0,1,1,1,0,6133,34.975498588620965
